Produto,Laboratorio
OX ESCITALOPRAM MG,EMS PHARMA
ARADOIS H,BIOLAB-SANUS FARMA
FUM.BISOPROLOL MG,MEDLEY
DIPIRONA MONOID MG,CIMED
NEVRALGEX,CIMED
OSCILLOCOCCINUM,BOIRON
EPIDRAT CALM,MANTECORP FARMASA
QTERN,ASTRAZENECA BRASIL
FOLINATO CALCIO MG,EUROFARMA
FIASP,NOVO NORDISK
VENLAXIN XR,EUROFARMA
NEOPIRIDIN,NEO QUIMICA
BESILAPIN,GEOLAB
RIFOTRAT,NATULAB
MYLANTA PLUS,KENVUE
MVASI,AMGEN
DASTENE,ACHE
RESTYLANE,GALDERMA
SILIMALON,ZYDUS BRASIL
AZORGA,NOVARTIS
TRANSAMIN,ZYDUS BRASIL
MOTILEX HA,APSEN
REDOXON TRIPL ACAO,BAYER CC
VITAMINA D3,NEO QUIMICA
CERUMIN,NOVARTIS
EXIMIA FORT KERA D,FQM GRUPO
PERCOF,SUPERA RX
CETOBETA,CELLERA FARMA
ARCOXIA,SUPERA RX
TALVEY,JANSSEN CILAG
COGMAX,EUROFARMA
NAN SEM LACTOSE,NESTLE
DIM LISDEXANFET MG,PHARLAB
HEM.QUETIAPINA MG,TEUTO BRASILEIRO
TORVAL CR,TORRENT
BRITENS,UNIAO QUIMICA F N
PLAX,COLGATE
FRESUBIN ENE FIBRE,FRESENIUS KABI
DENSIS,EUROFARMA
AZITROMICINA MG,EUROFARMA
GABAPENTINA MG,PRATI DONADUZZI
NEO B,EUROFARMA
ESOMEPRAZOL MAG MG,RANBAXY
AZUKON MR,TORRENT
STIVARGA,BAYER PHARMA
HEPAMAX-S,BLAU FARMACEUTICA
FLORASTOR,UNIAO QUIMICA F N
IBUPRIL 600,TEUTO BRASILEIRO
NESLAC COMFOR,NESTLE
LOSARTAN POTAS.MG,TEUTO BRASILEIRO
TRUXIMA,CELLTRION
CLOR.FLUOXETINA MG,TEUTO BRASILEIRO
DEXA-CITONEURI NFF,P&G HEALTHCARE
NORETI + ESTRAD MG,EUROFARMA
ROPOLIVY,ROCHE
JARDIANCE DUO,BOEHRINGER ING
ACERTALIX,SERVIER DO BRASIL
ACERTANLO,SERVIER DO BRASIL
ZERBAXA,MERCK SHARP DOHME
ABRILAR,FQM GRUPO
DIVENA,ACHE
REGENESIS PREMIUM,EXELTIS
CLOR.FLUOXETINA MG,HIPOLABOR
CLOR.TANSULOSI MG,EMS PHARMA
PARACETAMOL MG,PRATI DONADUZZI
IMECAP HAIR,FQM GRUPO
ADCOS,ADCOS
COPAXONE,TEVA
PRIMIA,CATARINENSE PHARMA
MASSAGEOL,NEO QUIMICA
LUNAH,CRISTALIA
BALSAMO BENGUE,EMS PHARMA
CHRON-ASA 5,EMS PHARMA
LUFTAGASTROPRO,RECKITT BENCKISER
ESOMEX,EMS PHARMA
DIP BECLOMETASO MG,GLENMARK
TEGRETOL CR,NOVARTIS
ALGINAC RETARD,P&G HEALTHCARE
PIPERACI+TAZOBA.MG,EUROFARMA
MOBILITY OSCAL D,SANOFI CHC
ORLISTATE MG,PRATI DONADUZZI
ONDIF,MANTECORP FARMASA
PRELONE,ACHE
REPATHA,BIOLAB-SANUS FARMA
FASENRA,ASTRAZENECA BRASIL
CITOBE,EUROFARMA
HIXIZINE,SUPERA RX
TROPINAL,EMS PHARMA
CALDE MAX,MARJAN
LEVEL,BIOLAB-SANUS FARMA
AZITROPHAR,PHARLAB
FRONTAL,VIATRIS
VICTOZA,NOVO NORDISK
FAULDFLUOR,LIBBS
DIP.BET+FOS.BET MG,EUROFARMA
ORENCIA,BRISTOL M. SQUIBB
VEMLIDY,GILEAD
AMATO,EUROFARMA
JOHNSONS BABY,KENVUE
PIPERACI+TAZOBA.MG,VIATRIS
IZIZ,LIBBS
BEDOZE,EUROFARMA
LIPIDIL,ABBOTT EPD
LIPITOR,VIATRIS
PROLIVE,ACHE
VOEXTOR,LIBBS
LAVITAN KIDS,CIMED
THYMOGLOBULINE,GENZYME
HEPARINOX,CRISTALIA
IMUSSUPREX,BRACE PHARMA
FRESUBIN PR/ENE/DR,FRESENIUS KABI
NINLARO,TAKEDA PHARMA
ATIVB,BIOLAB-SANUS FARMA
GASTROL,HYPERA CH
BUPIUM XL,EMS PHARMA
MILNUTRI,DANONE BABY NUTRIT
FREESTYLE LIB 2 PL,ABBOTT
CETAPHIL,GALDERMA
IBUPROTRAT,NATULAB
CLORETO DE SODIO,BAXTER
PEDIASURE,ABBOTT
PANTOPRAZOL MG,EUROFARMA
MESACOL,TAKEDA PHARMA
ENGOV AFTER,HYPERA CH
DROSPI+ETINILES MG,EMS PHARMA
CLOR.DULOXETINA MG,UNIAO QUIMICA F N
PREGABALINA MG,TEUTO BRASILEIRO
BACTRIM-F,FQM GRUPO
ATENOLOL MG,SANDOZ
FIXARE,EMS PHARMA
MERITOR,ACHE
ENCRISE,BIOLAB-SANUS FARMA
ZYTIGA,JANSSEN CILAG
ANGELIQ,MEGALABS
ARFLEX,DIFFUCAP-CHEMOBRAS
EVRA,GEDEON RICHTER
NEXIUM,ASTRAZENECA BRASIL
LACDAY,EMS PHARMA
XANTINON COMPLE NF,UNIAO QUIMICA F N
VARILRIX,GSK
DIPIMED,MEDQUIMICA
URSACOL,ZAMBON
ALLEXOFEDRIN D,EMS PHARMA
CORTICORTEN,NEO QUIMICA
KLARICID,ABBOTT EPD
HEMAX,ACHE
FUROAT.MOMETASO.MG,EUROFARMA
NITAZOXANIDA MG,ALTHAIA S/A
NIVEA,BEIERSDORF
PINAZAN,CRISTALIA
ANADOR,SANOFI CHC
OCUPRESS,UNIAO QUIMICA F N
MECLIN,APSEN
SARCLISA,SANOFI
MINERAL 89,VICHY
VERAZO,LIBBS
ALBENDAZOL MG,PRATI DONADUZZI
EPILENIL,BIOLAB-SANUS FARMA
ARARTAN,GEOLAB
LOSARTAN POTAS.MG,MEDLEY
MINANCORA,MINANCORA
INDUX,EMS PHARMA
TECNOMET,ADIUM
BEPANTRIZ,CIMED
EPCLUSA,GILEAD
BERIBUMIN,CSL BEHRING
KATIGUA,NATU BELL
RISEDROSS,EMS PHARMA
XOSPATA,ASTELLAS
WEZENLA,AMGEN
MUSTELA BB,EXPANSCIENCE
MINILAX,EUROFARMA
ORLISTATE MG,NEO QUIMICA
CELESTRAT,UNIAO QUIMICA F N
OMEPRAZOL MG,BLAU FARMACEUTICA
TAKHZYRO,TAKEDA PHARMA
TRULICITY,LILLY
CIALIS DIARIO,LILLY
LIXIANA,DAIICHI SANKYO
EX CANNABIS SATIVA,GREENCARE
EUCERIN SUN,BEIERSDORF
SIDNEY OLIVEIRA,ULTRAFARMA
VITA SUPRAZ,UNIAO QUIMICA F N
CELERG,LEGRAND
BEXAI,EMS PHARMA
ALLESTRA,ACHE
PROFENID,SANOFI
MICARDIS,BOEHRINGER ING
OX ESCITALOPRAM MG,MEDLEY
BEROTEC,BOEHRINGER ING
BISMU-JET,LEGRAND
LUMIGAN RC,ALLERGAN
FARMAX FARMACEUTIC,FARMAX DIV.COSM.
COREGA,HALEON
SYNOLIS,DERMALIS
AREXVY,GSK
GANFORT,ALLERGAN
HIDRAPLEX,NATULAB
SUPRACORP,CATARINENSE PHARMA
IVERMECTINA MG,VITAMEDIC
LADIZAC,DR. REDDYS
TOLREST,ACHE
OZURDEX,ALLERGAN
SINVASTATINA MG,NOVARTIS
IMUNOGLUCAN DS,HEBRON/QUEZALON
CANDICORT,ACHE
FUM.BISOPROLOL MG,MERCK
CICLOSPORINA MG,GERMED PHARMA
AMOXI+CLAVU.POT.MG,UNIAO QUIMICA F N
ABERALGINA,AIRELA IND FARM
GLIVEC,NOVARTIS
LAVITAN MELATONINA,CIMED
TANDENE,CELLERA FARMA
ANCORON,LIBBS
SPIDUFEN,ZAMBON
BABYMED,CIMED
SOROX,GENOMMA LAB
DIUPRESS,SUPERA RX
TEZSPIRE,ASTRAZENECA BRASIL
DENTALFIX,HERTZ
ALEKTOS PED,HYPERA AQ T
YAZ 24+4,MEGALABS
PRIMERA,EUROFARMA
EMGALITY,LIBBS
FLORAX,HEBRON/QUEZALON
CYMBI,EMS PHARMA
GARDENAL,MOKSHA8
MEROPENEM MG,ABL ANTIBIOTICOS
MONOVISC,APSEN
ACETILCISTEINA MG,EUROFARMA
IMJUDO,ASTRAZENECA BRASIL
PERIVASC,EUROFARMA
VYNAXA,EMS PHARMA
FLORENT,CIFARMA
CREAMY,CREAMY
VIMPAT,UCB BIOPHARMA
RYDAPT,NOVARTIS
AMBROXMEL,CIMED
ROSUVASTATI CAL MG,LEGRAND
REKOVELLE,FERRING
SUZOPA,DR. REDDYS
DEOCIL,DIFFUCAP-CHEMOBRAS
VALTREX,GSK
TARFIC,LIBBS
RIVAROXABANA MG,EMS PHARMA
ALDURAZYME,GENZYME
TAPAZOL,BIOLAB-SANUS FARMA
PERSPIREX,MEGALABS
DOLAMIN FLEX,FQM GRUPO
ATODERM,BIODERMA
ROSUVASTATI CAL MG,MEDLEY
DIPIRONA MG,SANTISA
CAPITAL SOLEIL,VICHY
RISPERIDONA MG,PRATI DONADUZZI
ACE ABIRATERONA MG,SUN PHARMA
RHOPHYLAC,CSL BEHRING
METREXATO,BLAU FARMACEUTICA
ANASTROZOL MG,EUROFARMA
LIPIKAR,LA ROCHE POSAY
NUTRIDRINK PROTEIN,DANONE MEDICAL NUT
XYLESTESIN,CRISTALIA
AVONEX,BIOGEN
CEFTRIAXONA SOD.MG,EUROFARMA
CLO VENLAFAXINA MG,EUROFARMA
POLARAMINE,HYPERA CH
KELO-COTE,FQM GRUPO
CLOPIDOGREL MG,SANDOZ
FOS OSELTAMIVIR MG,NATCOFARMA D BRASI
NIMESULIDA MG,EUROFARMA
CIALIS,LILLY
LITOCIT,APSEN
OLMECOR,TORRENT
FORTEVIRON,WALDEMIRO PEREIRA
LACTOSIL,APSEN
FOS.SOD.PREDNIS.MG,ACHE
DUOMO,EUROFARMA
DERSANI HIDROGEL,MEGALABS
NANLAC COMFOR,NESTLE
ONCASPAR,SERVIER DO BRASIL
TRATURIL,APSEN
DULCOLAX,SANOFI CHC
COLACT,UNIAO QUIMICA F N
PANTOCAL,EUROFARMA
TRIVAGEL N,MARJAN
NATURETTI,HYPERA S.A
PICOPREP,FERRING
CLO METILFENIDA MG,ALTHAIA S/A
PROSSO,EUROFARMA
HIDRABENE,DAHUER
CLONAZEPAM MG,MEDLEY
HIDROCLOROTIAZI.MG,CIMED
ON CALL PLUS II,MEDLEVENSOHN
SUPOS GLICERINA,GRANADO
DORENE TABS,ACHE
MAXIFLOX D,CRISTALIA
APTAMIL PEPTI,DANONE BABY NUTRIT
OPDUALAG,BRISTOL M. SQUIBB
LIBIAM,LIBBS
ACETILCISTEINA MG,GEOLAB
XAFAC,APSEN
CEFAGEL,MULTILAB
MUPIROCINA MG,PRATI DONADUZZI
MAL.DEXCLO+BETA.MG,CIMED
MIOSAN,APSEN
AZOPT,NOVARTIS
CLEANANCE,AVENE
EPREX,JANSSEN CILAG
MOTORE,ACHE
AXETIL CEFUROXI.MG,RANBAXY
PROPOFOL MG,TEUTO BRASILEIRO
CETROLAC,UNIAO QUIMICA F N
HORMUS,EUROFARMA
NORMADERM,VICHY
ANSIODORON,WELEDA
CLOR TRAMADOL MG,TEUTO BRASILEIRO
ALPRAZOLAM MG,MEDLEY
PNEUMOVAX 23,MERCK SHARP DOHME
PREDNISOLONA MG,EUROFARMA
GESTINOL,LIBBS
RESFEGRIPE,MULTILAB
CLOR.METFORMINA MG,TEUTO BRASILEIRO
IUMI ES,LIBBS
VITERGAN ZINCO PL,MARJAN
FEMIBION,P&G HEALTHCARE
TRIANCIL,APSEN
MEROPENEM TR-HI MG,BLAU FARMACEUTICA
VATIS,LIBBS
AMOXI+CLAVU.POT.MG,GERMED PHARMA
TARGIFOR CEWIN,SANOFI CHC
NACTALI,LIBBS
RIVAROXABANA MG,EUROFARMA
PRIMOSISTON,UNIAO QUIMICA F N
ECOFILM,CRISTALIA
BARISTAR,CELLERA FARMA
FIRIALTA,BAYER PHARMA
OTO-XILODASE,APSEN
NAPRIX D,LIBBS
CLAVULIN,GSK
AAS PROTECT,HYPERA S.A
SYSTANE COMPLETE,ALCON
IBUPROFENO MG,MEDLEY
K-Y,SEMINA
BUPROVIL 600,MULTILAB
CYLOCORT,UNIAO QUIMICA F N
ACNEZIL,CIMED
HYALU B5,LA ROCHE POSAY
XALATAN,VIATRIS
SOL CLORETO SODIO,HALEXISTAR
DIAD,CIMED
ESOMEPRAZOL MAG MG,MEDLEY
CLARITROMICINA MG,EMS PHARMA
IXIUM,FQM GRUPO
NAN AR,NESTLE
INDAPEN SR,TORRENT
ADORLAN,GRUNENTHAL
KOLLAGENASE,CRISTALIA
BIOGAM,CRISTALIA
CLOR.SERTRALINA MG,PRATI DONADUZZI
BUCLINA,HYPERA S.A
B-PLATIN,BLAU FARMACEUTICA
EX CANNABIS SATIVA,MANTECORP FARMASA
SULF.NEOM+BACIT.MG,MEDLEY
AGUA BI-DESTILADA,EQUIPLEX
CIMECORT,CIMED
VIAGRA,VIATRIS
PROPOVAN,CRISTALIA
PANTOPRAZOL MG,ACHE
ATESTO,SUPERA RX
TRAMAL RETARD,GRUNENTHAL
KETAMIN,CRISTALIA
EZETIMIBA MG,ALTHAIA S/A
BETADINE XR,ACHE
DUOFLAM,SUPERA RX
ATORVASTATINA MG,EUROFARMA
LORATADINA MG,AIRELA IND FARM
GASTROGEL,MEDQUIMICA
MEFEX,ACHE
FUM QUETIAPINA MG,EMS PHARMA
ROSUVASTATI CAL MG,CIMED
METAMUCIL,P&G HEALTHCARE
AMGEVITA,AMGEN
NIMEGON MET,SUPERA RX
OMEPRAZOL MG,GEOLAB
ACHEFLAN,ACHE
ATROVENT,BOEHRINGER ING
GRIPALCE,BRASTERAPICA
PEMETREXEDE DIS.MG,GLENMARK
AMYTRIL,SUPERA RX
CARVEDILOL MG,EMS PHARMA
NITAZOXANIDA MG,EUROFARMA
ALLEXOFEDRIN,EMS PHARMA
VITACID PLUS,THERASKIN
EKSON,ACHE
IBUPRIL,TEUTO BRASILEIRO
LORATADINA MG,CIMED
TYLEX,JANSSEN CILAG
ECOXE,MANTECORP FARMASA
THEALOZ DUO,UNIAO QUIMICA F N
PANT SEC,ACHE
AZITROMICINA MG,PHARLAB
FISIOGEL AI,MEGALABS
BLAUBIMAX,BLAU FARMACEUTICA
CLOR.ONDANSETRO MG,BIOLAB-SANUS FARMA
GENUXAL,BAXTER
VIOFTA,OFTA VISION HEALTH
PENVIR,EMS PHARMA
PROBIATOP,FQM GRUPO
AMOXICILINA MG,NEO QUIMICA
GLYCARE,MANTECORP FARMASA
ARPEJO,EMS PHARMA
NATUS GERIN,LEGRAND
TACROLIL,EMS PHARMA
ARTRODAR,TRB
HEPTAR,EUROFARMA
STOMALIV,GEOLAB
CLOR.FEXOFENADI.MG,CIMED
CLOR.NORTRIPTIL.MG,RANBAXY
ZILEPAM,GEOLAB
METALYSE,BOEHRINGER ING
TADALAFILA MG,NEO QUIMICA
CLOR.SERTRALINA MG,GEOLAB
PANTOPRAZOL MG,CIMED
AC.ACETIL-SALIC MG,EMS PHARMA
LATANOPROSTA MG,GEOLAB
MALEA.ENALAPRIL MG,EMS PHARMA
LUVIS GOLD,UNIAO QUIMICA F N
RITMONORM,ABBOTT EPD
BRAMICAR,EMS PHARMA
TEPEV,EMS PHARMA
RAZAPINA,MOKSHA8
CYMBALTA,LILLY
BUSCODUO,HYPERA AQ
ALBUREX,CSL BEHRING
ZYAD DIARIO,ACHE
CLOR.CIPROFLOXA.MG,EUROFARMA
AMOME,MANTECORP FARMASA
DECA DURABOLIN,ASPEN PHARMA
FLUCONAZOL MG,CIMED
SERENATA,TORRENT
MULTI-BI,SUPERA RX
NEOCATE LCP,DANONE MEDICAL NUT
SOL GLICOSE,HALEXISTAR
ATACAND,BIOPAS
LIPLESS,BIOLAB-SANUS FARMA
GLUCERNA,ABBOTT
REMERON,SUPERA RX
TRIPLENEX,ALLERGAN
GOOD VIT,GOOD VIT
MOBILITY OSCAL,SANOFI CHC
DESLORATADINA MG,EUROFARMA
DOMPERIDONA MG,EUROFARMA
PROBID,APSEN
COLEDUE R,MANTECORP FARMASA
BRONFEN + FENIL MG,NEO QUIMICA
ASEPXIA,GENOMMA LAB
ELONVA,ORGANON
HILUROPT,GBIO
CIMELIDE,CIMED
FEIBA,TAKEDA PHARMA
NALDECON MULTI,RECKITT BENCKISER
PANTOGAR NEO,BIOLAB-SANUS FARMA
EMSEXPECTOR,EMS PHARMA
EPIDUO,GALDERMA
LOCERYL,GALDERMA
NOXX,BLAU FARMACEUTICA
NIQUITIN,QUIFA FARMACEUTICA
TRAXONOL,GEOLAB
CET+D.BET+S.NEO MG,EUROFARMA
ABRAXANE,KNIGHTTX
AAS,HYPERA S.A
CULTURELLE,CELLERA FARMA
PITAVAS CALCICA MG,BIOLAB-SANUS FARMA
CYMEVIR,HALEXISTAR
CETORO.TROMETAM.MG,UNIAO QUIMICA F N
CLOR.DULOXETINA MG,NOVA QUIMICA
AGUA MICELAR,LOREAL PARIS
FACOBA,OFTA VISION HEALTH
AZULFIN,APSEN
IVY C,MANTECORP FARMASA
DICL BETAISTINA MG,EUROFARMA
HIZENTRA,CSL BEHRING
VENTAVIS,BAYER PHARMA
NUVARING,ORGANON
SPORTVIS,BIOLAB-SANUS FARMA
EPIDRAT CALM B5,MANTECORP FARMASA
MAXALT,SUPERA RX
FORTICE,EUROFARMA
PIETRA ED,EUROFARMA
SINTOCALMY,ACHE
SOL CLORETO SODIO,J.P.
DORFLEX UNO,SANOFI CHC
DOZOITO,BIOLAB-SANUS FARMA
WINDUZA,DR. REDDYS
CIPROFIBRATO MG,BIOLAB-SANUS FARMA
LOXONIN FLEX,DAIICHI SANKYO
NORESTIN,BIOLAB-SANUS FARMA
OMCILON A ORABASE,ASPEN PHARMA
DEXMINE,CIMED
VICHY DESODORANTE,VICHY
CLO VENLAFAXINA MG,TORRENT
AMOXICILINA MG,EUROFARMA
HYLO GEL,FBM FARMA
CRONOBE COMPLEX,BIOLAB-SANUS FARMA
ATACAND HCT,BIOPAS
NEBILET,BIOLAB-SANUS FARMA
SIGMA-CLAV BD,EMS PHARMA
AVIDE,ACHE
EBASTEL,EUROFARMA
DIPIFARMA,FARMACE
DONILA DUO,ACHE
LUVOX,ABBOTT EPD
CLOR.ONDANSETRO MG,ALTHAIA S/A
DRENATAN,OFTA VISION HEALTH
CREVAGIN,EUROFARMA
ANDROCORTIL,TEUTO BRASILEIRO
GABAPENTINA MG,BIOLAB-SANUS FARMA
PERIOTRAT,HERTZ
NEOZINE P,SANOFI
APRACUR,HYPERA CH
EVOBRIG,TAKEDA PHARMA
NATIFA,LIBBS
RUSOVAS,BRACE PHARMA
BUSONID ORAL,ACHE
G-TECH VITA,ACCUMED PROD M HOS
ESALERG,ACHE
KANJINTI,AMGEN
NEBLOCK,TORRENT
LUMAKRAS,AMGEN
APTAMIL S LACTOSE,DANONE BABY NUTRIT
HYDRAPORIN AI,MANTECORP FARMASA
ALBEL,GEOLAB
HUMAN IMMUNOGLOBUL,HYPERA PHARMA
CONDRES,EMS PHARMA
NIVEA INTIMO,BEIERSDORF
REPARIL,VIATRIS
DORZAL MT,OFTA VISION HEALTH
PAGUE MENOS,PAGUE MENOS
TEMODAL,MERCK SHARP DOHME
INDAPAMIDA MG,EUROFARMA
TRICIT,EUROFARMA
NEUTROGENA NWG,KENVUE
OLMES ME+HIDROC MG,EMS PHARMA
MIOFLEX-A,MANTECORP FARMASA
SUCC.DESVENLAFA MG,ALTHAIA S/A
GUMMMY,NUTRIN GROUP
EVER CARE,GRUPO DPSP LAB
CLONAZEPAM MG,GEOLAB
BIOVICERIN,GEYER
CLOR.CIPROFLOXA.MG,HALEXISTAR
SOL FISIOLOGIC TOP,LAB TAYUYNA LTDA
SYMBICORT,FQM GRUPO
MOTILEX,APSEN
E.NORET+V.ESTRA MG,CIFARMA
BIORE,KAO
MELAB3,LA ROCHE POSAY
HALDOL,CELLERA FARMA
VORICONAZOL MG,ACCORD FARMACEUTIC
ADVANTAN,LEO PHARMA
OMEPRAZOL MG,TEUTO BRASILEIRO
EVEROLIMO MG,FUNDA OSWALDO CRUZ
NUTREL,ACHE
ARIPIPRAZOL MG,SANDOZ
LIPANON,MANTECORP FARMASA
CORTISONAL,UNIAO QUIMICA F N
ICADEN,LEO PHARMA
CLO VENLAFAXINA MG,EMS PHARMA
AEROFRIN,PHARMASCIENCE LAB
IMPERE,EMS PHARMA
CONFIRA,SANFARMA
NIVUX,EMS PHARMA
DAFLON 500,SERVIER DO BRASIL
NEO FEDIPINA,NEO QUIMICA
AMOXI+CLAVU.POT.MG,PRATI DONADUZZI
CAMOMILINA C,THERASKIN
COLFLEX CURCUMA,MANTECORP FARMASA
DORMEC,IMEC
FOSTAIR DPI,CHIESI FARMACEUTIC
PRIMOGYNA,BAYER PHARMA
CUTISANOL,CRISTALIA
OMEGAFOR,VITAFOR
DPREV TODO DIA,MYRALIS
OXANON,BLAU FARMACEUTICA
LUVIS S,UNIAO QUIMICA F N
VITAMINA D3,EUROFARMA
LINADIB,EMS PHARMA
BES ANLODIPINO MG,CIMED
PANTOPRAZOL MG,EMS PHARMA
TAMIFLU,ROCHE
MARACUGINA PI,HYPERA CH
COMPLEXO B,EMS PHARMA
EXIMIA FORTALIZE S,FQM GRUPO
NOVACORT,ACHE
PROVANCE,ACHE
CLOR.DULOXETINA MG,LEGRAND
VIGAMOX,NOVARTIS
MERTHIOLATE NF,HYPERA CH
SYNVISC ONE,SANOFI
NIMESULIDA MG,CIMED
BRINEURA,BIOMARIN
VEKLURY,GILEAD
LOSARTAN POTAS.MG,EUROFARMA
CLO METILFENIDA MG,EMS PHARMA
ALENTHUS XR,CELLERA FARMA
GONAL-F,MERCK
TOPISON,LIBBS
NEOCOFLAN,NEO QUIMICA
OLMY ANLO,BRACE PHARMA
PREGABALINA MG,EMS PHARMA
SOL RINGER LACTATO,BRAUN
EUCERIN HYALUR.FIL,BEIERSDORF
PARINEX,SANVAL
ONTRUZANT,SAMSUNG
KRONEL,HEBRON/QUEZALON
LUGANO,EUROFARMA
CENTRUM NF,HALEON
MILGAMMA,MANTECORP FARMASA
ADOLESS,FQM GRUPO
DICLOFEN.DIETIL.MG,CIMED
ALOPURINOL MG,MEDLEY
NEBIDO,GRUNENTHAL
ACU FRESH,GEOLAB
RAPILAX,HERTZ
CARBOLITIUM,EUROFARMA
ESPIRONOLACTONA MG,GERMED PHARMA
BESPONSA,PFIZER
DEPAKOTE,ABBOTT EPD
TRAMADON,CRISTALIA
TAMIRAM,EUROFARMA
PIASCLEDINE,ABBOTT EPD
POLVILHO ANTISSEPT,GRANADO
CLOPIDOGREL MG,NOVARTIS
CATAFLAM,NOVARTIS
PROCORALAN,SERVIER DO BRASIL
SUC METOPROLOL MG,PHARLAB
PIPERACI+TAZOBA.MG,FRESENIUS KABI
CETOCONAZOL MG,CIMED
RESTYLANE DEFYNE,GALDERMA
PAXIL CR,GSK
LATONAN,OFTA VISION HEALTH
PASALIX PI,MARJAN
FLUIMUCIL,ZAMBON
ACETILCISTEINA MG,GERMED PHARMA
BIOZINC,ACHE
BIOFENAC AERO,ACHE
CLO VANCOMICINA MG,BLAU FARMACEUTICA
RUXIENCE,PFIZER
COMBIRON FOLICO,ACHE
MELATONUM MAX,MANTECORP FARMASA
MICARDIS ANLO,BOEHRINGER ING
PARACETAMOL MG,UNIAO QUIMICA F N
ONTAX,LIBBS
TEIPLAN,UNIAO QUIMICA F N
BRAMICAR HCT,EMS PHARMA
MACRODANTINA,MANTECORP FARMASA
ZOMETA,NOVARTIS
SCAFLOGIN,GLOBO
NIST+OXID.ZINCO MG,EMS PHARMA
SANDRENA,ORGANON
OMEPRAZOL MG,CIMED
MELOXICAM MG,EUROFARMA
LONIUM,APSEN
HEPATILON,HERTZ
MABTHERA,ROCHE
ENTARKIN,EMS PHARMA
CINETOL,CRISTALIA
FIBER MAIS,NESTLE
LONQUEX,TEVA
STEZZA,THERAMEX
FOSFOMI TROMETA MG,PHARMASCIENCE LAB
SIMETICONA MG,HIPOLABOR
INVANZ,MERCK SHARP DOHME
VITAMINA B12,MAXINUTRI
MESACOL MMX,TAKEDA PHARMA
OXCARBAZEPINA MG,MEDLEY
LACRIBELL,CRISTALIA
GALVUS,FQM GRUPO
SUSTAGEN KIDS,RECKITT BENCKISER
VENALOT CREME,HYPERA AQ T
GYNOTRAN,EXELTIS
AGUA PARA INJECAO,FARMACE
ACE ABIRATERONA MG,DR. REDDYS
FLUCETIL,MAXINUTRI
FOSTAIR,CHIESI FARMACEUTIC
BERIPLAST-P,CSL BEHRING
CALMAN,ASPEN PHARMA
OCTIFEN,UNIAO QUIMICA F N
INSERIS XR,APSEN
PHOSFOENEMA,SUPERA RX
JANUMET XR,MERCK SHARP DOHME
NEOGERMINA,NEO QUIMICA
CATAFLAM EMULGEL,HALEON
OXITON,UNIAO QUIMICA F N
SUAVIE,DARROW
COMBIGAN,ALLERGAN
TADALAFILA MG,MEDLEY
NORIPURUM FOLICO,BLANVER
STER,UNIAO QUIMICA F N
ACTINE SOLAR,DARROW
NPLATE,AMGEN
SUCC.SOD.HIDROC.MG,BLAU FARMACEUTICA
DESDUO,TORRENT
LEXOTAN,MOKSHA8
FORTINI PLUS,DANONE MEDICAL NUT
PREGABALINA MG,EUROFARMA
ORLISTATE MG,GERMED PHARMA
CILOSTAZOL MG,EUROFARMA
CLOR.ONDANSETRO MG,HYPOFARMA
COLIC CALM,MRJ FARMA
VIVENCIA PATCH,ACHE
FONT D,UNIAO QUIMICA F N
THIOCTACID,VIATRIS
TOPIRAMATO MG,EUROFARMA
THYROGEN,GENZYME
KETAMIN NP,CRISTALIA
FOS.SOD.PREDNIS.MG,PRATI DONADUZZI
METILPREDNISOLO.MG,BLAU FARMACEUTICA
NISTATINA MG,PRATI DONADUZZI
NAXOTEC,UNIAO QUIMICA F N
TADALAFILA MG,LEGRAND
AGUA PARA INJECAO,FARMARIN I CO LTDA
POMALYST,BRISTOL M. SQUIBB
HEM ZOLPIDEM MG,EUROFARMA
EVEROLIMO MG,UF RIO GRANDE NORT
CLOR.SERTRALINA MG,MEDLEY
FLORIPA,EUROFARMA
PREDNISONA MG,NEO QUIMICA
SORO FISIOLOGICO,ARBORETO
PREGOMIN PEPTI,DANONE BABY NUTRIT
SIMETICONA MG,CIMED
GAESO,ACHE
ALOPURINOL MG,SANDOZ
FUM QUETIAPINA MG,GEOLAB
AMALFI,EUROFARMA
SUTENT,PFIZER
SINVASTATINA MG,EMS PHARMA
CONDRES AH,EMS PHARMA
PEYONA,CHIESI FARMACEUTIC
FUM TENO DESOPR MG,CRISTALIA
ESC ODT,EUROFARMA
DESALEX,SUPERA RX
WARYZ,CIMED
VITAXON C,AIRELA IND FARM
CEFTRIAXONA DIS.MG,TEUTO BRASILEIRO
CAPECITABINA MG,SUN PHARMA
CLOMID,ORGANON
BROM VORTIOXETI MG,ALTHAIA S/A
ZELBORAF,ROCHE
CLARIL,ALCON
CLO HIDROXIZINA MG,EMS PHARMA
PUREGON,ORGANON
PROSSO KM,EUROFARMA
KABIVEN,FRESENIUS KABI
MUSCULARE,EUROFARMA
VECASTEN,MARJAN
DORZAL,OFTA VISION HEALTH
GLUCERNA SR,ABBOTT
BRILINTA,ASTRAZENECA BRASIL
PLUVICTO,NOVARTIS
NIMESULIDA MG,EMS PHARMA
ATRED,LIBBS
CLOR.SERTRALINA MG,EMS PHARMA
CLOR TRAMADOL MG,EMS PHARMA
DEWS,UNIAO QUIMICA F N
VALSARTANA MG,GERMED PHARMA
FILGRASTINE,BLAU FARMACEUTICA
